,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Barr Faughny,   New Zealand,Choco Coated Almonds,18/10/2021,"$12,236 ",42,816
,,Marney O'Breen,UK,Drinking Coco,19/10/2021,$959 ,16,44
,,Dotty Strutley, UK,50% Dark Bites,19/10/2021,"$2,114 ",100,193
,,Wilone O'Kielt,   Canada,Caramel Stuffed Bars,19/10/2021,"$1,743 ",9,61
,,Beverie Moffet,  UK,Orange Choco,19/10/2021,"$9,044 ",214,823
,,Karlen McCaffrey,Australia,70% Dark Bites,19/10/2021,"$9,506 ",137,951
,,Roddy Speechley,  Australia,85% Dark Bars,19/10/2021,"$6,608 ",79,276
,,Jehu Rudeforth,   USA,Raspberry Choco,19/10/2021,"$1,799 ",19,90
,,Madelene Upcott,  Australia,Fruit & Nut Bars,19/10/2021,"$5,425 ",18,453
,,Barr Faughny,  New Zealand,Orange Choco,19/10/2021,"$5,292 ",170,441
,,Brien Boise, UK,White Choc,19/10/2021,"$2,352 ",155,168
,,Roddy Speechley, Australia,Manuka Honey Choco,19/10/2021,"$5,236 ",496,202
,,Rafaelita Blaksland,UK,Organic Choco Syrup,19/10/2021,"$4,354 ",50,146
,,Rafaelita Blaksland,  USA,Eclairs,19/10/2021,"$7,133 ",51,376
,,Van Tuxwell,   India,70% Dark Bites,19/10/2021,"$3,066 ",253,256
,,Jehu Rudeforth,   Canada,After Nines,19/10/2021,"$15,932 ",292,498
,,Dennison Crosswaite,  New Zealand,Almond Choco,19/10/2021,"$3,836 ",244,214
,,Curtice Advani,  India,Raspberry Choco,19/10/2021,"$2,149 ",49,127
,,Curtice Advani,  USA,Manuka Honey Choco,19/10/2021,"$1,043 ",23,42
,,Andria Kimpton,   Canada,Caramel Stuffed Bars,19/10/2021,"$3,087 ",188,119
,,Kaine Padly,UK,Mint Chip Choco,19/10/2021,$994 ,60,53
,,Gigi Bohling,   Australia,Choco Coated Almonds,19/10/2021,"$7,819 ",186,489
,,Ches Bonnell, USA,Spicy Special Slims,19/10/2021,"$5,222 ",32,194
,,Gigi Bohling,   New Zealand,Baker's Choco Chips,19/10/2021,"$11,102 ",59,694
,,Van Tuxwell,   India,Smooth Sliky Salty,19/10/2021,$574 ,40,29
,,Dotty Strutley,Australia,Eclairs,19/10/2021,"$19,824 ",45,1167
,,Camilla Castle,  Canada,Almond Choco,19/10/2021,$343 ,27,17
,,Dennison Crosswaite,USA,70% Dark Bites,20/10/2021,"$7,637 ",231,1091
,,Gunar Cockshoot,  UK,Drinking Coco,20/10/2021,"$3,745 ",84,130
,,Andria Kimpton, Australia,Drinking Coco,20/10/2021,"$8,253 ",74,331
,,Curtice Advani, Canada,White Choc,20/10/2021,$266 ,303,19
,,Kelci Walkden,   Canada,White Choc,20/10/2021,"$6,153 ",214,684
,,Husein Augar,  Australia,50% Dark Bites,20/10/2021,"$1,253 ",24,90
,,Kelci Walkden,UK,After Nines,20/10/2021,"$3,752 ",284,122
,,Brien Boise, USA,99% Dark & Pure,21/10/2021,"$5,145 ",170,286
,,Brien Boise,  Canada,99% Dark & Pure,21/10/2021,"$2,156 ",72,90
,,Beverie Moffet,   Canada,Orange Choco,21/10/2021,"$1,288 ",348,108
,,Marney O'Breen,   New Zealand,70% Dark Bites,21/10/2021,"$2,233 ",162,224
,,Beverie Moffet,  Australia,Smooth Sliky Salty,21/10/2021,"$2,156 ",292,154
,,Oby Sorrel,   USA,Smooth Sliky Salty,21/10/2021,"$9,870 ",241,581
,,Jan Morforth,   USA,Fruit & Nut Bars,21/10/2021,"$9,016 ",17,564
,,Curtice Advani,   Australia,Choco Coated Almonds,21/10/2021,"$6,482 ",257,342
,,Brien Boise, Australia,Orange Choco,21/10/2021,"$8,295 ",405,1383
,,Camilla Castle, India,Spicy Special Slims,21/10/2021,"$4,830 ",154,202
,,Barr Faughny,  New Zealand,50% Dark Bites,21/10/2021,"$4,025 ",152,288
,,Husein Augar, Canada,Orange Choco,21/10/2021,"$1,309 ",421,94
,,Beverie Moffet,   India,Eclairs,21/10/2021,"$4,970 ",17,277
,,Jan Morforth,   New Zealand,Mint Chip Choco,21/10/2021,"$4,130 ",61,207
,,Jan Morforth, India,99% Dark & Pure,21/10/2021,"$4,739 ",180,226
,,Gunar Cockshoot,India,99% Dark & Pure,22/10/2021,"$13,545 ",69,847
,,Brien Boise,Canada,Spicy Special Slims,22/10/2021,"$6,615 ",473,331
,,Brien Boise,Canada,Raspberry Choco,22/10/2021,"$10,101 ",287,481
,,Camilla Castle,USA,Eclairs,22/10/2021,$539 ,44,34
,,Gunar Cockshoot,New Zealand,Eclairs,22/10/2021,"$4,795 ",227,343
,,Marney O'Breen, Canada,Fruit & Nut Bars,22/10/2021,$833 ,40,65
,,Dennison Crosswaite,   USA,Spicy Special Slims,22/10/2021,"$2,359 ",35,91
,,Husein Augar,  India,Raspberry Choco,22/10/2021,"$1,484 ",75,93
,,Marney O'Breen,  New Zealand,After Nines,22/10/2021,"$14,378 ",150,533
,,Camilla Castle,   USA,Almond Choco,22/10/2021,"$11,039 ",87,614
,,Camilla Castle,Australia,Choco Coated Almonds,22/10/2021,"$1,218 ",310,77
,,Oby Sorrel,   India,Peanut Butter Cubes,22/10/2021,"$5,117 ",149,214
,,Dotty Strutley,UK,Peanut Butter Cubes,22/10/2021,$469 ,359,25
,,Gigi Bohling,   New Zealand,Eclairs,22/10/2021,"$1,806 ",8,113
,,Rafaelita Blaksland,UK,After Nines,22/10/2021,"$4,739 ",90,149
,,Gunar Cockshoot,   UK,Fruit & Nut Bars,25/10/2021,"$4,053 ",131,271
,,Beverie Moffet, Australia,Organic Choco Syrup,25/10/2021,"$3,353 ",245,112
,,Curtice Advani,New Zealand,White Choc,25/10/2021,"$10,080 ",179,1008
,,Jan Morforth,Australia,Milk Bars,25/10/2021,"$3,367 ",6,117
,,Barr Faughny,   Australia,Eclairs,25/10/2021,"$4,011 ",65,236
,,Gunar Cockshoot,  Canada,Almond Choco,25/10/2021,"$22,715 ",16,1420
,,Gunar Cockshoot,  Australia,Almond Choco,25/10/2021,"$2,583 ",193,152
,,Marney O'Breen,UK,99% Dark & Pure,25/10/2021,"$12,537 ",243,738
,,Wilone O'Kielt,Australia,Smooth Sliky Salty,25/10/2021,"$6,587 ",170,330
,,Beverie Moffet,   USA,70% Dark Bites,25/10/2021,$56 ,123,6
,,Karlen McCaffrey, Australia,Mint Chip Choco,25/10/2021,"$5,124 ",206,285
,,Roddy Speechley,   USA,Raspberry Choco,25/10/2021,"$4,970 ",182,311
,,Karlen McCaffrey,   New Zealand,White Choc,25/10/2021,$952 ,401,74
,,Kaine Padly,India,Organic Choco Syrup,25/10/2021,"$8,365 ",60,349
,,Mallorie Waber,  Australia,Orange Choco,25/10/2021,"$7,217 ",219,722
,,Jan Morforth, UK,Baker's Choco Chips,25/10/2021,"$8,022 ",389,502
,,Jehu Rudeforth,  India,Raspberry Choco,25/10/2021,"$3,360 ",3,198
,,Kaine Padly,Canada,Mint Chip Choco,26/10/2021,"$9,975 ",65,768
,,Beverie Moffet,USA,Smooth Sliky Salty,26/10/2021,"$6,174 ",184,441
,,Gigi Bohling,   Canada,Mint Chip Choco,26/10/2021,"$2,485 ",234,125
,,Curtice Advani,   New Zealand,Organic Choco Syrup,26/10/2021,"$9,604 ",49,343
,,Camilla Castle, Australia,Fruit & Nut Bars,26/10/2021,"$1,274 ",209,116
,,Kaine Padly,   India,White Choc,26/10/2021,"$6,916 ",350,692
,,Madelene Upcott,   India,Mint Chip Choco,26/10/2021,"$10,682 ",8,629
,,Dennison Crosswaite, UK,Choco Coated Almonds,26/10/2021,"$2,023 ",240,145
,,Oby Sorrel,   UK,Smooth Sliky Salty,26/10/2021,"$6,034 ",224,355
,,Jan Morforth,  USA,Baker's Choco Chips,26/10/2021,$602 ,107,67
,,Barr Faughny,  USA,Eclairs,26/10/2021,"$3,864 ",80,298
,,Beverie Moffet,India,99% Dark & Pure,26/10/2021,"$8,057 ",2,504
,,Kelci Walkden,UK,Manuka Honey Choco,26/10/2021,"$14,000 ",183,438
,,Roddy Speechley,   New Zealand,50% Dark Bites,26/10/2021,"$7,749 ",75,775
,,Van Tuxwell, UK,Mint Chip Choco,26/10/2021,$280 ,378,19
,,Kaine Padly,India,Smooth Sliky Salty,26/10/2021,$623 ,102,30
,,Van Tuxwell,   India,Caramel Stuffed Bars,27/10/2021,"$6,629 ",401,277
,,Karlen McCaffrey, Australia,85% Dark Bars,27/10/2021,"$8,393 ",100,365
,,Jehu Rudeforth,USA,Spicy Special Slims,27/10/2021,"$9,646 ",528,420
,,Mallorie Waber,India,70% Dark Bites,27/10/2021,"$8,792 ",27,1256
,,Gunar Cockshoot,  Canada,Fruit & Nut Bars,27/10/2021,"$7,623 ",96,693
,,Camilla Castle, UK,After Nines,27/10/2021,"$5,600 ",176,187
,,Karlen McCaffrey,  UK,70% Dark Bites,27/10/2021,"$6,076 ",59,868
,,Madelene Upcott,USA,Raspberry Choco,27/10/2021,"$10,269 ",32,514
,,Dotty Strutley,Canada,Raspberry Choco,27/10/2021,"$4,144 ",177,189
,,Mallorie Waber, Canada,Eclairs,27/10/2021,"$11,795 ",86,562
,,Jehu Rudeforth, Australia,After Nines,27/10/2021,"$1,519 ",76,57
,,Mallorie Waber,   New Zealand,Eclairs,27/10/2021,"$2,121 ",388,152
,,Oby Sorrel,  USA,99% Dark & Pure,27/10/2021,"$2,758 ",30,173
,,Karlen McCaffrey,Canada,99% Dark & Pure,28/10/2021,"$1,519 ",231,90
,,Mallorie Waber,   USA,Baker's Choco Chips,28/10/2021,"$7,427 ",10,676
,,Oby Sorrel,   UK,Drinking Coco,28/10/2021,"$6,650 ",22,247
,,Brien Boise,UK,Orange Choco,28/10/2021,"$2,520 ",351,194
,,Jan Morforth, Canada,70% Dark Bites,28/10/2021,"$3,010 ",171,232
,,Rafaelita Blaksland,  UK,Smooth Sliky Salty,28/10/2021,"$9,289 ",204,517
,,Kelci Walkden, UK,85% Dark Bars,28/10/2021,"$3,556 ",232,149
,,Husein Augar,Australia,Caramel Stuffed Bars,28/10/2021,"$2,639 ",23,91
,,Oby Sorrel,   USA,Raspberry Choco,28/10/2021,"$1,764 ",204,89
,,Jan Morforth,   Canada,Peanut Butter Cubes,28/10/2021,"$15,190 ",66,691
,,Rafaelita Blaksland,  Canada,99% Dark & Pure,28/10/2021,"$6,209 ",79,389
,,Gunar Cockshoot,New Zealand,Drinking Coco,28/10/2021,"$7,028 ",131,282
,,Brien Boise,  Canada,Smooth Sliky Salty,29/10/2021,"$9,268 ",46,618
,,Dennison Crosswaite,  New Zealand,Peanut Butter Cubes,29/10/2021,"$6,293 ",157,243
,,Kaine Padly,   UK,Orange Choco,29/10/2021,"$3,031 ",265,337
,,Van Tuxwell,   Australia,After Nines,29/10/2021,"$2,583 ",127,100
,,Dotty Strutley,UK,Choco Coated Almonds,29/10/2021,"$3,850 ",8,214
,,Roddy Speechley,   New Zealand,Orange Choco,29/10/2021,"$17,780 ",68,1368
,,Camilla Castle,  Canada,Caramel Stuffed Bars,29/10/2021,"$6,153 ",138,280
,,Madelene Upcott,Canada,Drinking Coco,29/10/2021,"$3,514 ",221,147
,,Barr Faughny,   USA,Baker's Choco Chips,29/10/2021,"$1,652 ",205,128
,,Brien Boise,New Zealand,Fruit & Nut Bars,29/10/2021,"$6,769 ",464,484
,,Marney O'Breen,  UK,Milk Bars,29/10/2021,"$4,494 ",356,150
,,Roddy Speechley,Australia,Baker's Choco Chips,1/11/2021,"$3,199 ",212,267
,,Brien Boise, Australia,Choco Coated Almonds,1/11/2021,"$11,508 ",141,822
,,Van Tuxwell,New Zealand,Orange Choco,1/11/2021,"$5,712 ",332,476
,,Barr Faughny,   India,Mint Chip Choco,1/11/2021,"$14,462 ",532,804
,,Husein Augar,   New Zealand,Milk Bars,1/11/2021,"$8,099 ",11,312
,,Marney O'Breen,Canada,Raspberry Choco,1/11/2021,$700 ,76,34
,,Rafaelita Blaksland,   New Zealand,50% Dark Bites,1/11/2021,"$3,066 ",97,384
,,Gigi Bohling,   USA,Eclairs,1/11/2021,"$14,406 ",267,901
,,Andria Kimpton,   USA,85% Dark Bars,1/11/2021,"$7,224 ",265,425
,,Camilla Castle, India,Manuka Honey Choco,1/11/2021,"$6,762 ",102,212
,,Van Tuxwell, Australia,70% Dark Bites,1/11/2021,$483 ,213,38
,,Dotty Strutley,  Canada,Caramel Stuffed Bars,1/11/2021,"$10,990 ",15,478
,,Beverie Moffet,   UK,Eclairs,1/11/2021,"$3,864 ",241,184
,,Dennison Crosswaite,  Canada,Raspberry Choco,1/11/2021,"$4,942 ",232,248
,,Dennison Crosswaite,India,Spicy Special Slims,1/11/2021,"$9,828 ",195,351
,,Camilla Castle,India,Mint Chip Choco,2/11/2021,"$3,528 ",148,236
,,Beverie Moffet,USA,Peanut Butter Cubes,2/11/2021,"$7,511 ",172,418
,,Jan Morforth,  New Zealand,Organic Choco Syrup,2/11/2021,"$10,269 ",234,447
,,Roddy Speechley, USA,Organic Choco Syrup,2/11/2021,"$10,024 ",10,358
,,Karlen McCaffrey,USA,Choco Coated Almonds,2/11/2021,"$4,648 ",232,291
,,Mallorie Waber, USA,Choco Coated Almonds,2/11/2021,"$1,771 ",34,85
,,Kaine Padly,USA,Peanut Butter Cubes,2/11/2021,"$8,869 ",188,370
,,Curtice Advani,  USA,50% Dark Bites,2/11/2021,"$8,463 ",509,529
,,Jehu Rudeforth, USA,Eclairs,2/11/2021,"$8,729 ",388,546
,,Dennison Crosswaite,   Australia,Peanut Butter Cubes,2/11/2021,"$1,708 ",455,78
,,Gunar Cockshoot, USA,Caramel Stuffed Bars,2/11/2021,$196 ,183,9
,,Brien Boise,  Australia,Raspberry Choco,2/11/2021,"$2,646 ",298,133
,,Gigi Bohling,   Australia,Baker's Choco Chips,2/11/2021,$665 ,8,48
,,Roddy Speechley, UK,99% Dark & Pure,3/11/2021,"$9,856 ",164,493
,,Camilla Castle,  Canada,Manuka Honey Choco,3/11/2021,"$8,435 ",96,256
,,Dennison Crosswaite,   Australia,Fruit & Nut Bars,3/11/2021,"$5,586 ",142,430
,,Curtice Advani,  USA,Choco Coated Almonds,3/11/2021,"$2,709 ",230,136
,,Marney O'Breen,USA,Fruit & Nut Bars,3/11/2021,"$3,724 ",253,249
,,Gigi Bohling,   Canada,99% Dark & Pure,3/11/2021,"$4,046 ",56,184
,,Wilone O'Kielt, India,Fruit & Nut Bars,3/11/2021,"$1,169 ",279,117
,,Dennison Crosswaite,   Australia,Orange Choco,4/11/2021,"$12,474 ",298,1560
,,Roddy Speechley,Canada,Smooth Sliky Salty,4/11/2021,"$5,838 ",79,278
,,Mallorie Waber,  UK,Smooth Sliky Salty,4/11/2021,"$5,488 ",119,392
,,Brien Boise,New Zealand,Almond Choco,4/11/2021,$539 ,23,29
,,Gigi Bohling, New Zealand,Almond Choco,4/11/2021,"$1,211 ",11,56
,,Beverie Moffet,  Canada,Fruit & Nut Bars,4/11/2021,"$1,841 ",217,132
,,Roddy Speechley,Canada,Milk Bars,4/11/2021,"$14,882 ",183,532
,,Husein Augar,  USA,Organic Choco Syrup,4/11/2021,"$2,590 ",115,90
,,Kaine Padly,India,Drinking Coco,4/11/2021,"$3,829 ",87,142
,,Ches Bonnell,   USA,Drinking Coco,4/11/2021,"$4,207 ",203,169
,,Roddy Speechley, Australia,99% Dark & Pure,4/11/2021,"$20,608 ",10,1145
,,Jehu Rudeforth,   India,Manuka Honey Choco,4/11/2021,"$2,737 ",96,98
,,Gunar Cockshoot,  Australia,Raspberry Choco,4/11/2021,"$5,873 ",28,392
,,Rafaelita Blaksland,Canada,After Nines,4/11/2021,"$2,674 ",44,90
,,Jan Morforth, UK,Caramel Stuffed Bars,5/11/2021,"$9,982 ",372,400
,,Husein Augar, Australia,Milk Bars,5/11/2021,$952 ,500,42
,,Barr Faughny,  New Zealand,After Nines,5/11/2021,"$3,353 ",235,112
,,Oby Sorrel,   New Zealand,Organic Choco Syrup,5/11/2021,"$1,960 ",51,68
,,Dotty Strutley,   India,Organic Choco Syrup,5/11/2021,$224 ,35,8
,,Husein Augar, New Zealand,After Nines,5/11/2021,"$3,178 ",176,133
,,Jehu Rudeforth,   New Zealand,Orange Choco,5/11/2021,"$12,103 ",376,1211
,,Karlen McCaffrey,India,Eclairs,5/11/2021,"$12,642 ",197,973
,,Curtice Advani,   Canada,Spicy Special Slims,5/11/2021,"$3,542 ",283,154
,,Dennison Crosswaite, India,Organic Choco Syrup,5/11/2021,"$8,505 ",429,294
,,Wilone O'Kielt,   USA,Eclairs,5/11/2021,"$16,856 ",194,937
,,Gunar Cockshoot,New Zealand,Organic Choco Syrup,5/11/2021,"$5,306 ",38,222
,,Curtice Advani,   Australia,Smooth Sliky Salty,5/11/2021,"$2,198 ",292,170
,,Marney O'Breen,Australia,Organic Choco Syrup,5/11/2021,"$10,304 ",124,356
,,Ches Bonnell,India,Choco Coated Almonds,5/11/2021,"$2,765 ",75,146
,,Jan Morforth,   India,85% Dark Bars,5/11/2021,"$5,362 ",6,269
,,Karlen McCaffrey, Australia,Drinking Coco,5/11/2021,"$6,489 ",117,260
,,Kaine Padly,  Canada,Drinking Coco,5/11/2021,"$1,239 ",371,43
,,Oby Sorrel,UK,After Nines,5/11/2021,"$2,968 ",61,110
,,Kelci Walkden,   India,99% Dark & Pure,5/11/2021,"$1,589 ",54,73
,,Andria Kimpton,   New Zealand,Spicy Special Slims,5/11/2021,"$10,353 ",203,370
,,Madelene Upcott,   UK,50% Dark Bites,5/11/2021,"$10,864 ",498,836
,,Husein Augar,  USA,Baker's Choco Chips,5/11/2021,"$2,037 ",124,157
,,Mallorie Waber, UK,After Nines,5/11/2021,"$5,306 ",178,183
,,Madelene Upcott,   Australia,Orange Choco,8/11/2021,"$15,883 ",160,1444
,,Dennison Crosswaite,   Australia,70% Dark Bites,8/11/2021,"$4,242 ",10,327
,,Husein Augar,  Canada,Drinking Coco,8/11/2021,$833 ,75,30
,,Wilone O'Kielt,  UK,70% Dark Bites,8/11/2021,"$2,653 ",193,266
,,Karlen McCaffrey, USA,Caramel Stuffed Bars,8/11/2021,"$2,730 ",96,98
,,Karlen McCaffrey,  UK,Mint Chip Choco,8/11/2021,$140 ,61,8
,,Kelci Walkden,   India,Eclairs,8/11/2021,"$4,102 ",237,293
,,Dennison Crosswaite, India,85% Dark Bars,8/11/2021,"$8,547 ",88,503
,,Wilone O'Kielt,  UK,Raspberry Choco,9/11/2021,"$8,519 ",375,568
,,Kaine Padly,   Australia,99% Dark & Pure,9/11/2021,$413 ,145,19
,,Jehu Rudeforth,   New Zealand,Almond Choco,9/11/2021,"$8,190 ",67,390
,,Roddy Speechley,   New Zealand,Spicy Special Slims,9/11/2021,"$1,393 ",113,50
,,Gunar Cockshoot,   India,Choco Coated Almonds,9/11/2021,"$3,367 ",369,154
,,Camilla Castle,UK,Choco Coated Almonds,9/11/2021,"$3,969 ",293,181
,,Karlen McCaffrey,  Australia,White Choc,9/11/2021,"$4,550 ",57,380
,,Kelci Walkden,India,Raspberry Choco,9/11/2021,"$5,796 ",138,306
,,Gunar Cockshoot,Australia,Fruit & Nut Bars,9/11/2021,"$1,218 ",167,102
,,Marney O'Breen, Australia,Peanut Butter Cubes,9/11/2021,"$5,488 ",39,262
,,Marney O'Breen,New Zealand,Orange Choco,9/11/2021,$259 ,579,26
,,Curtice Advani, India,Milk Bars,9/11/2021,"$6,545 ",311,219
,,Mallorie Waber,India,Eclairs,10/11/2021,"$5,257 ",212,263
,,Camilla Castle,   Canada,85% Dark Bars,10/11/2021,"$7,875 ",74,493
,,Barr Faughny, Australia,White Choc,10/11/2021,"$1,820 ",297,203
,,Barr Faughny, USA,Mint Chip Choco,10/11/2021,"$2,205 ",6,117
,,Kaine Padly,Australia,Milk Bars,11/11/2021,"$9,044 ",180,312
,,Jan Morforth,Canada,Mint Chip Choco,11/11/2021,"$8,799 ",91,489
,,Dennison Crosswaite, Canada,Caramel Stuffed Bars,11/11/2021,"$4,627 ",42,178
,,Karlen McCaffrey, Australia,Choco Coated Almonds,11/11/2021,"$8,015 ",136,422
,,Husein Augar,   UK,Caramel Stuffed Bars,11/11/2021,$840 ,5,29
,,Husein Augar,USA,50% Dark Bites,11/11/2021,"$12,173 ",276,1107
,,Jan Morforth,India,Almond Choco,11/11/2021,"$8,743 ",18,398
,,Beverie Moffet,   New Zealand,Eclairs,11/11/2021,"$8,561 ",3,408
,,Wilone O'Kielt,   Canada,99% Dark & Pure,11/11/2021,"$7,357 ",37,307
,,Brien Boise,  Australia,99% Dark & Pure,11/11/2021,"$2,037 ",9,108
,,Wilone O'Kielt,Australia,85% Dark Bars,11/11/2021,"$12,012 ",124,546
,,Dotty Strutley,  Australia,Smooth Sliky Salty,11/11/2021,"$6,979 ",59,499
,,Camilla Castle,  Canada,Spicy Special Slims,11/11/2021,"$4,529 ",394,175
,,Curtice Advani,Australia,Peanut Butter Cubes,11/11/2021,"$14,406 ",48,759
,,Oby Sorrel,India,Raspberry Choco,11/11/2021,"$14,511 ",155,807
,,Karlen McCaffrey, India,Mint Chip Choco,11/11/2021,"$3,290 ",16,174
,,Karlen McCaffrey,USA,White Choc,12/11/2021,"$11,557 ",19,964
,,Oby Sorrel,India,99% Dark & Pure,12/11/2021,"$9,758 ",175,465
,,Gigi Bohling,Canada,70% Dark Bites,12/11/2021,"$6,195 ",165,564
,,Roddy Speechley, New Zealand,Choco Coated Almonds,12/11/2021,"$19,894 ",320,995
,,Brien Boise, India,Spicy Special Slims,12/11/2021,"$1,638 ",72,75
,,Oby Sorrel, India,White Choc,12/11/2021,"$2,163 ",130,181
,,Jan Morforth,UK,Manuka Honey Choco,12/11/2021,"$4,872 ",116,174
,,Barr Faughny,India,Drinking Coco,12/11/2021,"$16,240 ",170,739
,,Gunar Cockshoot,Canada,50% Dark Bites,12/11/2021,"$14,357 ",153,1306
,,Jan Morforth,India,Caramel Stuffed Bars,12/11/2021,$889 ,78,36
,,Kaine Padly,  USA,Mint Chip Choco,12/11/2021,$406 ,96,21
,,Husein Augar,   Canada,Raspberry Choco,12/11/2021,"$1,932 ",161,121
,,Mallorie Waber,   UK,Fruit & Nut Bars,12/11/2021,"$9,184 ",402,511
,,Kaine Padly, Canada,Smooth Sliky Salty,12/11/2021,"$7,014 ",280,540
,,Jan Morforth,Canada,Baker's Choco Chips,12/11/2021,"$9,926 ",170,1103
,,Van Tuxwell,UK,50% Dark Bites,12/11/2021,"$11,697 ",619,1064
,,Camilla Castle,  India,Peanut Butter Cubes,12/11/2021,$840 ,52,42
,,Marney O'Breen,Australia,Milk Bars,15/11/2021,"$4,725 ",104,197
,,Ches Bonnell, Australia,Orange Choco,15/11/2021,"$8,043 ",20,1006
,,Wilone O'Kielt,   Canada,Milk Bars,15/11/2021,$994 ,51,40
,,Roddy Speechley, New Zealand,Manuka Honey Choco,15/11/2021,"$16,359 ",279,528
,,Roddy Speechley,  Canada,After Nines,15/11/2021,"$2,660 ",72,99
,,Mallorie Waber,   UK,50% Dark Bites,15/11/2021,"$11,431 ",131,880
,,Gunar Cockshoot,   USA,White Choc,15/11/2021,$147 ,47,13
,,Curtice Advani,   New Zealand,Caramel Stuffed Bars,15/11/2021,$161 ,190,7
,,Madelene Upcott,UK,Organic Choco Syrup,15/11/2021,"$3,528 ",275,142
,,Husein Augar,   Australia,After Nines,15/11/2021,"$1,981 ",117,80
,,Madelene Upcott,   India,White Choc,15/11/2021,"$6,139 ",50,384
,,Brien Boise, Australia,Manuka Honey Choco,15/11/2021,"$1,890 ",483,66
,,Jehu Rudeforth, USA,99% Dark & Pure,15/11/2021,"$5,551 ",118,327
,,Marney O'Breen, New Zealand,Milk Bars,15/11/2021,"$14,742 ",219,546
,,Jan Morforth,   UK,70% Dark Bites,15/11/2021,"$7,637 ",115,510
,,Rafaelita Blaksland, Canada,Eclairs,16/11/2021,"$11,620 ",208,684
,,Rafaelita Blaksland, Canada,Manuka Honey Choco,16/11/2021,"$3,171 ",294,100
,,Karlen McCaffrey,  UK,Spicy Special Slims,16/11/2021,"$4,718 ",281,182
,,Gunar Cockshoot, Canada,Manuka Honey Choco,16/11/2021,"$7,511 ",15,243
,,Gunar Cockshoot,UK,Raspberry Choco,16/11/2021,"$4,858 ",81,232
,,Roddy Speechley, Canada,Baker's Choco Chips,16/11/2021,$637 ,90,46
,,Curtice Advani,USA,After Nines,16/11/2021,"$3,283 ",79,118
,,Mallorie Waber,Australia,Almond Choco,16/11/2021,"$4,760 ",199,207
,,Beverie Moffet,  UK,Smooth Sliky Salty,16/11/2021,"$4,893 ",26,258
,,Madelene Upcott,Australia,85% Dark Bars,16/11/2021,"$2,373 ",83,140
,,Husein Augar,India,Peanut Butter Cubes,16/11/2021,"$3,689 ",51,148
,,Camilla Castle,  USA,Caramel Stuffed Bars,16/11/2021,"$1,526 ",69,67
,,Beverie Moffet,   Australia,99% Dark & Pure,16/11/2021,"$2,156 ",171,98
,,Dotty Strutley,India,Caramel Stuffed Bars,16/11/2021,$210 ,167,8
,,Dotty Strutley,  Australia,Orange Choco,17/11/2021,"$7,700 ",231,963
,,Brien Boise,   USA,Orange Choco,17/11/2021,"$3,766 ",46,343
,,Kaine Padly, Canada,White Choc,17/11/2021,"$4,837 ",25,404
,,Karlen McCaffrey,  USA,Eclairs,17/11/2021,"$9,016 ",256,694
,,Andria Kimpton,   UK,Mint Chip Choco,17/11/2021,$448 ,76,23
,,Camilla Castle,   UK,50% Dark Bites,17/11/2021,"$9,065 ",47,648
,,Kaine Padly,USA,99% Dark & Pure,18/11/2021,"$1,456 ",542,70
,,Kelci Walkden,  UK,Smooth Sliky Salty,18/11/2021,"$2,464 ",78,165
,,Marney O'Breen,UK,White Choc,18/11/2021,"$14,161 ",76,886
,,Roddy Speechley,USA,Mint Chip Choco,18/11/2021,"$5,481 ",309,289
,,Rafaelita Blaksland,   New Zealand,White Choc,18/11/2021,"$2,177 ",102,156
,,Kaine Padly,UK,After Nines,18/11/2021,$21 ,387,1
,,Curtice Advani, UK,Milk Bars,18/11/2021,$350 ,41,13
,,Husein Augar,Canada,Fruit & Nut Bars,18/11/2021,"$11,018 ",270,787
,,Husein Augar, New Zealand,85% Dark Bars,18/11/2021,"$4,277 ",121,204
,,Jehu Rudeforth,Australia,Drinking Coco,18/11/2021,"$3,367 ",330,154
,,Brien Boise,   USA,Manuka Honey Choco,18/11/2021,"$1,925 ",273,61
,,Andria Kimpton,   UK,Caramel Stuffed Bars,18/11/2021,"$9,590 ",212,384
,,Husein Augar, Australia,Mint Chip Choco,18/11/2021,"$13,832 ",71,814
,,Camilla Castle,Australia,Orange Choco,18/11/2021,"$8,134 ",46,814
,,Kelci Walkden,  India,Almond Choco,19/11/2021,"$6,685 ",50,335
,,Camilla Castle,  USA,Choco Coated Almonds,19/11/2021,"$2,142 ",128,134
,,Rafaelita Blaksland,New Zealand,Choco Coated Almonds,19/11/2021,"$15,407 ",32,701
,,Camilla Castle,   UK,70% Dark Bites,19/11/2021,$623 ,234,48
,,Brien Boise,  UK,99% Dark & Pure,19/11/2021,"$1,085 ",529,68
,,Ches Bonnell, Canada,70% Dark Bites,19/11/2021,"$2,933 ",79,226
,,Karlen McCaffrey,   New Zealand,Spicy Special Slims,22/11/2021,"$13,860 ",177,693
,,Kelci Walkden,Canada,Orange Choco,22/11/2021,"$3,787 ",126,316
,,Ches Bonnell,  Canada,Eclairs,22/11/2021,"$1,085 ",86,73
,,Karlen McCaffrey,   New Zealand,70% Dark Bites,22/11/2021,"$16,926 ",164,1302
,,Curtice Advani,UK,Mint Chip Choco,22/11/2021,"$3,311 ",67,255
,,Camilla Castle, India,Choco Coated Almonds,22/11/2021,"$3,360 ",66,160
